model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches
logistic_fifa_baseline,2018,0.9148014388657323,0.5404731343215234,0.1792799069072269,0.5705059203444564,0.036510675881512286,0.5745082795974604,929
logistic_player_scorer,2018,0.9144951484431296,0.5406228162123597,0.17911714924553643,0.5726587728740581,0.02995896643426932,0.5777503123728012,929
hist_gbm_player_scorer,2018,0.9297634440420203,0.5513619016959934,0.1837590066377756,0.5543595263724435,0.02976484548915487,0.5455799780578738,929
lightgbm_player_scorer,2018,0.9246810923964109,0.5482430329463809,0.18325745833993168,0.5457481162540366,0.04158890371139794,0.5413653238475039,929
logistic_fifa_baseline,2021,0.7897616046800283,0.4597901086921364,0.14696658328063694,0.6520179372197309,0.03357671298759224,0.6332225070406154,1115
logistic_player_scorer,2021,0.7938956226501077,0.4627715901610611,0.14815333270175726,0.6484304932735426,0.019940264068206006,0.637252841306872,1115
hist_gbm_player_scorer,2021,0.7963282017827333,0.4630397379697345,0.1481466588589992,0.6457399103139013,0.02440248266139312,0.6282068876658999,1115
lightgbm_player_scorer,2021,0.7957241637251388,0.46207680568899157,0.14806904828774015,0.6520179372197309,0.03782996086436766,0.6244649237455265,1115
logistic_fifa_baseline,2022,0.9141103053679913,0.5375841535222516,0.18210905510642422,0.5896907216494846,0.0348218580504817,0.5826780818948136,970
logistic_player_scorer,2022,0.912693949046895,0.536897775002243,0.1818660912709523,0.5824742268041238,0.02277300140907182,0.5871409175516794,970
hist_gbm_player_scorer,2022,0.9183629543113933,0.5402745789278153,0.18314444554716952,0.5793814432989691,0.015483228005606784,0.5698222835548945,970
lightgbm_player_scorer,2022,0.9134614568019057,0.5374421395219892,0.1820687434603496,0.5855670103092784,0.02818163645284777,0.5669974757759815,970
logistic_fifa_baseline,2023,0.8438723357660212,0.4947870300581851,0.1673674240355196,0.6309297912713473,0.04183397852477172,0.6432790856709768,1054
logistic_player_scorer,2023,0.8438715095399748,0.49443200493341116,0.16717797640090762,0.6252371916508539,0.03980175461064853,0.645895369710702,1054
hist_gbm_player_scorer,2023,0.8476527783840457,0.4957013983067363,0.1679586118254723,0.6195445920303605,0.0375405406339578,0.6194023539122003,1054
lightgbm_player_scorer,2023,0.850453046406429,0.4983803513231933,0.16935801458967578,0.6148007590132827,0.03342144394067773,0.6150308020313052,1054
logistic_fifa_baseline,2024,0.8929154551746498,0.5268952393996449,0.17240207589327533,0.5931651749389748,0.04446331944187592,0.6307967197148744,1229
logistic_player_scorer,2024,0.8909669891025516,0.5259190195402457,0.17201090643707057,0.5874694873881204,0.04288681376528046,0.6303563011534008,1229
hist_gbm_player_scorer,2024,0.8997529500457818,0.5307124002956771,0.17433714461657593,0.5825874694873882,0.04614637349965938,0.6111677384812175,1229
lightgbm_player_scorer,2024,0.9002679273259637,0.5313480007413734,0.17450527834685675,0.5858421480878763,0.02451670994744144,0.6065716667099615,1229
