model,split,log_loss,brier,rps,accuracy,calibration_error,sharpness,n_matches,draw_C,decisive_C,half_life_years,fold_log_loss_std
structured__draw0.3__decisive1.0__hl20.0,pooled_rolling_origin,0.877890902817552,0.5159895798840989,0.17143801687995255,0.603926750991127,0.01643177173514833,0.6053439106295855,5297,0.3,1.0,20.0,0.048064022278904814
structured__draw0.3__decisive1.0__hlnone,pooled_rolling_origin,0.8780097537875723,0.5160477641554713,0.17142077188670096,0.6024164621483858,0.016178904336764992,0.6073239947016407,5297,0.3,1.0,,0.04823542619431141
structured__draw0.1__decisive1.0__hl20.0,pooled_rolling_origin,0.8780152783936058,0.516019313963424,0.17143557810329818,0.6037379648857845,0.018190446349189413,0.6053246510505753,5297,0.1,1.0,20.0,0.04819108192282103
structured__draw0.1__decisive1.0__hlnone,pooled_rolling_origin,0.8780439319231147,0.5160473839042357,0.17141459888173077,0.6029828204644139,0.01675218228627753,0.6073081787113265,5297,0.1,1.0,,0.04829386771959327
structured__draw0.03__decisive1.0__hl20.0,pooled_rolling_origin,0.8781834475447725,0.5160879061026639,0.17144264773205553,0.6029828204644139,0.01745796282151724,0.6051237577377071,5297,0.03,1.0,20.0,0.04839640332049334
structured__draw0.3__decisive1.0__hl12.0,pooled_rolling_origin,0.8782005349591715,0.5161787328175884,0.17151009048209467,0.6014725316216727,0.019856450702131854,0.6044069407359313,5297,0.3,1.0,12.0,0.04793036524886714
structured__draw0.1__decisive1.0__hl12.0,pooled_rolling_origin,0.8782185767739006,0.5161523756977263,0.17149838632502812,0.6018501038323579,0.019595843184473508,0.6043618262077234,5297,0.1,1.0,12.0,0.048039823924631735
structured__draw0.03__decisive1.0__hlnone,pooled_rolling_origin,0.8782236618125134,0.5161239252916339,0.17142425256809093,0.6020388899377006,0.015577212001022127,0.6071555178371688,5297,0.03,1.0,,0.048565999102859504
structured__draw0.03__decisive1.0__hl12.0,pooled_rolling_origin,0.8783421775956728,0.5161907470439518,0.17149795046725372,0.6020388899377006,0.01889481237057754,0.6041634274104561,5297,0.03,1.0,12.0,0.04825706674757584
structured__draw0.3__decisive0.3__hl20.0,pooled_rolling_origin,0.8783905330912154,0.5164325645524072,0.17165950921410675,0.6031716065697564,0.017995216661699318,0.6047835565635189,5297,0.3,0.3,20.0,0.048367047563942965
structured__draw0.1__decisive0.3__hl20.0,pooled_rolling_origin,0.878514908667269,0.5164659105292282,0.17165887638620028,0.6033603926750991,0.01865182288937159,0.6047682513911655,5297,0.1,0.3,20.0,0.04849401561137503
structured__draw0.3__decisive0.3__hlnone,pooled_rolling_origin,0.8786203260046042,0.5165301650954343,0.17166197235668246,0.6016613177270153,0.013226710147551522,0.6066422908778771,5297,0.3,0.3,,0.048555173615578505
structured__draw0.3__decisive1.0__hl8.0,pooled_rolling_origin,0.8786303574291019,0.5164437270328535,0.17162739060233728,0.6022276760430433,0.017354932848140325,0.6034832598409056,5297,0.3,1.0,8.0,0.04785135740331622
structured__draw0.1__decisive0.3__hlnone,pooled_rolling_origin,0.8786545041401466,0.5165319531773196,0.1716568835182727,0.6016613177270153,0.014331597888551111,0.6066323835299899,5297,0.1,0.3,,0.04861346007877949
structured__draw0.03__decisive0.3__hl20.0,pooled_rolling_origin,0.8786830778184358,0.5165397494776427,0.17166856941954495,0.6016613177270153,0.019683948149345896,0.604570813807375,5297,0.03,0.3,20.0,0.04869877644888687
structured__draw0.1__decisive1.0__hl8.0,pooled_rolling_origin,0.8787062171317548,0.5164491185859316,0.17161994403359557,0.6027940343590712,0.01593717385677962,0.6033656015358586,5297,0.1,1.0,8.0,0.04792340235496431
structured__draw0.3__decisive0.3__hl12.0,pooled_rolling_origin,0.8787099307622243,0.5166245229543505,0.1717329855504757,0.60128374551633,0.017135832387728485,0.6038974990064994,5297,0.3,0.3,12.0,0.04826807816225443
structured__draw0.1__decisive0.3__hl12.0,pooled_rolling_origin,0.8787279725769535,0.516601429950721,0.17172291345152543,0.6022276760430433,0.017826152583802317,0.6038545111662537,5297,0.1,0.3,12.0,0.0483779321250097
structured__draw0.03__decisive1.0__hl8.0,pooled_rolling_origin,0.8788134161708671,0.5164668596172683,0.17161341662667487,0.6029828204644139,0.017265260901673303,0.603242955138124,5297,0.03,1.0,8.0,0.04816927836766024
structured__draw0.03__decisive0.3__hlnone,pooled_rolling_origin,0.8788342340295453,0.5166124012015798,0.17166849052306393,0.6010949594109873,0.015005331716666102,0.6064869317850146,5297,0.03,0.3,,0.04888453870146578
structured__draw0.03__decisive0.3__hl12.0,pooled_rolling_origin,0.8788515733987257,0.5166442704041564,0.17172471214735605,0.60128374551633,0.021582760825521626,0.6036695306846258,5297,0.03,0.3,12.0,0.048594310163385564
structured__draw0.3__decisive0.3__hl8.0,pooled_rolling_origin,0.8791672370762775,0.5169052872916489,0.17185817073173493,0.6029828204644139,0.017682471787886705,0.6029642401857617,5297,0.3,0.3,8.0,0.04814402963534119
structured__draw0.1__decisive0.3__hl8.0,pooled_rolling_origin,0.8792430967789304,0.5169144693400904,0.17185261941067495,0.6027940343590712,0.017493985660198004,0.6028479597854357,5297,0.1,0.3,8.0,0.04821607488156582
structured__draw0.03__decisive0.3__hl8.0,pooled_rolling_origin,0.8793502958180426,0.5169372060154485,0.17184858982576492,0.6027940343590712,0.018182060518389533,0.6027419262219683,5297,0.03,0.3,8.0,0.048461694126666816
